tipo_credito,fecha_prestamo,capital_prestado,plazo_meses,edad_cliente,tipo_laboral,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje_datacredito,cant_creditosvigentes,huella_consulta,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,tendencia_ingresos
7,2024-12-21 11:31:35,3692160.0,10,42,Independiente,8000000,2500000,341296,695.0,10,5,5,0,0,908526.0,Estable
4,2025-04-22 09:47:35,840000.0,6,60,Empleado,3000000,2000000,124876,789.0,3,1,0,0,2,939017.0,Creciente
4,2025-08-04 12:04:10,1671240.0,6,48,Empleado,1524547,498000,252420,837.0,4,4,3,0,0,1536193.0,Creciente
9,2025-04-26 11:24:26,2781636.0,11,44,Empleado,5000000,4000000,217037,771.0,4,6,3,0,1,933473.0,Creciente
4,2025-06-10 08:54:01,1031928.0,12,32,Empleado,2800000,800000,82872,721.0,10,13,2,0,8,2808474.0,Creciente
4,2025-08-09 13:00:44,3064280.4,6,68,Independiente,1000000,22005000,461231,814.0,11,8,6,3,0,969508.0,Creciente
4,2025-08-18 12:49:19,3619560.0,6,31,Empleado,3782303,305000,542079,760.0,1,5,0,1,0,3782303.0,Creciente
9,2025-05-30 09:11:18,2134827.6,10,31,Empleado,14500000,8000000,181732,737.0,0,2,0,0,0,14007850.0,Creciente
4,2024-12-31 14:32:59,8400000.0,6,45,Empleado,14000000,5000000,1166667,752.0,4,3,2,0,0,28889623.0,Creciente
9,2025-03-21 12:29:32,1269000.0,3,61,Independiente,5000000,2000000,336766,708.0,11,15,5,2,3,,
4,2025-03-25 17:19:59,2236561.1999999997,12,58,Empleado,2800000,400000,175932,754.0,10,2,5,0,3,3922859.0,Creciente
4,2025-03-15 12:03:39,4284000.0,8,66,Independiente,8000000,2400000,486710,809.0,5,4,3,0,1,916148.0,Creciente
4,2024-12-17 10:40:13,2969520.0,12,61,Independiente,4000000,1500000,232992,858.0,5,2,3,0,1,,
4,2025-01-01 16:57:31,1798440.0,12,52,Empleado,1800000,100000,140941,795.0,4,2,3,0,1,1765398.0,Creciente
4,2025-02-23 09:22:59,2760000.0,12,43,Independiente,2500000,800000,216838,861.0,3,0,1,2,0,,
9,2026-01-08 12:22:40,5974028.399999999,10,36,Independiente,4036000,829000,529554,740.0,4,5,3,0,0,,
4,2025-06-15 16:25:06,1200000.0,6,68,Empleado,4000000,2500000,178476,766.0,4,3,1,0,0,,
9,2025-04-05 10:15:45,821208.0,2,61,Independiente,5000000,2000000,323844,853.0,7,3,5,0,1,66667.0,Estable
4,2024-11-28 16:15:06,3191760.0,6,62,Independiente,8000000,4000000,472442,810.0,15,4,6,0,5,,
9,2025-05-11 11:10:05,1604400.0,5,56,Independiente,5000000,2000000,260433,797.0,6,7,3,1,2,933473.0,Creciente
