variable,tipo,psi,ks,p_valor,jensen_shannon,prueba,chi2,severidad,significativo
promedio_ingresos_datacredito,numerica,0.32724487812363035,0.22582757021609362,1.2644174477526991e-60,0.056200951261043415,Kolmogorov-Smirnov,,rojo,True
total_otros_prestamos,numerica,0.18190649907034545,0.14008697031708783,3.135210012416078e-32,0.03129616028159144,Kolmogorov-Smirnov,,amarillo,True
plazo_meses,numerica,0.11286933022394817,0.1619612211877669,5.551567963809016e-43,0.2249266775152864,Kolmogorov-Smirnov,,amarillo,True
cuota_pactada,numerica,0.07789643432101977,0.12431130148692315,1.8656289768299969e-25,0.11309214990898189,Kolmogorov-Smirnov,,verde,True
capital_prestado,numerica,0.0525772497647239,0.08456009124426411,5.343610904833901e-12,0.08336262881674489,Kolmogorov-Smirnov,,verde,True
salario_cliente,numerica,0.03897941676069629,0.07564210548441486,1.096063750946084e-09,0.032345084938379294,Kolmogorov-Smirnov,,verde,True
tendencia_ingresos,categorica,0.020041305526222023,,2.157127615056156e-07,,Chi-cuadrado,33.824956722723265,verde,True
edad_cliente,numerica,0.014279730158817335,0.04946037665784353,0.00021771331265729087,0.04623672847684633,Kolmogorov-Smirnov,,verde,True
puntaje_datacredito,numerica,0.011803327698102438,0.02612759573156609,0.1554210781129852,0.06479251323983128,Kolmogorov-Smirnov,,verde,False
cant_creditosvigentes,numerica,0.005118282639535823,0.01632902985907486,0.6976554450262393,0.046872251673484196,Kolmogorov-Smirnov,,verde,False
creditos_sectorCooperativo,numerica,0.004333666841268438,0.025360720625497657,0.17981900075991114,0.04288425984864143,Kolmogorov-Smirnov,,verde,False
huella_consulta,numerica,0.004076628973588762,0.024636852132944753,0.20572814956525803,0.045077799521696896,Kolmogorov-Smirnov,,verde,False
tipo_credito,categorica,0.003840573122446512,,0.15782375270731028,,Chi-cuadrado,7.971312538972319,verde,False
creditos_sectorReal,numerica,0.002526017319834124,0.016766884217574884,0.6659396656341261,0.048531499264396975,Kolmogorov-Smirnov,,verde,False
creditos_sectorFinanciero,numerica,0.0014186015631410835,0.008852775538209512,0.9983557853200604,0.03843392421913665,Kolmogorov-Smirnov,,verde,False
tipo_laboral,categorica,0.0007969600651639262,,0.232629553273699,,Chi-cuadrado,1.4247109757099927,verde,False
